"cohort_month","month_offset","total_customers","retention_rate"
"1/12/2017 12:00:00 AM","4","15","0.00273373428102788"
"1/12/2017 12:00:00 AM","5","11","0.00200473847275378"
"1/12/2017 12:00:00 AM","6","9","0.00164024056861673"
"1/12/2017 12:00:00 AM","7","3","0.000546746856205577"
"1/12/2017 12:00:00 AM","8","12","0.00218698742482231"
"1/12/2017 12:00:00 AM","9","0","0"
"1/12/2017 12:00:00 AM","10","0","0"
"1/01/2018 12:00:00 AM","0","7025","1"
"1/01/2018 12:00:00 AM","1","24","0.00341637010676157"
"1/01/2018 12:00:00 AM","2","27","0.00384341637010676"
"1/01/2018 12:00:00 AM","3","20","0.00284697508896797"
"1/01/2018 12:00:00 AM","4","20","0.00284697508896797"
"1/01/2018 12:00:00 AM","5","11","0.00156583629893238"
"1/01/2018 12:00:00 AM","6","12","0.00170818505338078"
"1/01/2018 12:00:00 AM","7","16","0.00227758007117438"
"1/01/2018 12:00:00 AM","8","0","0"
"1/01/2018 12:00:00 AM","9","0","0"
"1/02/2018 12:00:00 AM","0","6451","1"
"1/02/2018 12:00:00 AM","1","25","0.0038753681599752"
"1/02/2018 12:00:00 AM","2","25","0.0038753681599752"
"1/02/2018 12:00:00 AM","3","19","0.00294527980158115"
"1/02/2018 12:00:00 AM","4","17","0.00263525034878313"
"1/02/2018 12:00:00 AM","5","14","0.00217020616958611"
"1/02/2018 12:00:00 AM","6","13","0.0020151914431871"
"1/02/2018 12:00:00 AM","7","0","0"
"1/02/2018 12:00:00 AM","8","0","0"
"1/03/2018 12:00:00 AM","0","6965","1"
"1/03/2018 12:00:00 AM","1","32","0.00459440057430007"
"1/03/2018 12:00:00 AM","2","22","0.0031586503948313"
"1/03/2018 12:00:00 AM","3","20","0.00287150035893754"
"1/03/2018 12:00:00 AM","4","9","0.0012921751615219"
"1/03/2018 12:00:00 AM","5","9","0.0012921751615219"
"1/03/2018 12:00:00 AM","6","0","0"
"1/03/2018 12:00:00 AM","7","0","0"
"1/04/2018 12:00:00 AM","0","6711","1"
"1/04/2018 12:00:00 AM","1","39","0.00581135449262405"
"1/04/2018 12:00:00 AM","2","21","0.00312919088064372"
"1/04/2018 12:00:00 AM","3","16","0.00238414543287141"
"1/04/2018 12:00:00 AM","4","9","0.00134108180599017"
"1/04/2018 12:00:00 AM","5","0","0"
"1/04/2018 12:00:00 AM","6","0","0"
"1/05/2018 12:00:00 AM","0","6622","1"
"1/05/2018 12:00:00 AM","1","35","0.00528541226215645"
"1/05/2018 12:00:00 AM","2","18","0.0027182120205376"
"1/05/2018 12:00:00 AM","3","14","0.00211416490486258"
"1/05/2018 12:00:00 AM","4","0","0"
"1/05/2018 12:00:00 AM","5","0","0"
"1/06/2018 12:00:00 AM","0","5940","1"
"1/06/2018 12:00:00 AM","1","25","0.00420875420875421"
"1/06/2018 12:00:00 AM","2","17","0.00286195286195286"
"1/06/2018 12:00:00 AM","3","0","0"
"1/06/2018 12:00:00 AM","4","1","0.000168350168350168"
"1/07/2018 12:00:00 AM","0","6071","1"
"1/07/2018 12:00:00 AM","1","44","0.0072475704167353"
"1/07/2018 12:00:00 AM","2","2","0.000329435018942514"
"1/07/2018 12:00:00 AM","3","0","0"
"1/08/2018 12:00:00 AM","0","6271","1"
"1/08/2018 12:00:00 AM","1","7","0.00111624940200925"
"1/08/2018 12:00:00 AM","2","2","0.000318928400574071"
"1/09/2018 12:00:00 AM","0","5","1"
"1/09/2018 12:00:00 AM","1","0","0"
"1/10/2018 12:00:00 AM","0","1","1"
