"customer_unique_id","days_to_second_order"
"1ed1f7f1679bee0089061c9db1bd783a","0"
"1f2c5059dad2c277b3b338163b49ca73","380"
"1f90117a847636892e3c5bf569f2ac68","153"
"1f9756abd497b76eeccb492bfe91df35","45"
"1f98d2384ff7a372e6a2d3bb75cbcd54","2"
"1f98e3467d2b48dfb44fc12b137d3447","455"
"1fbd81e4d0a0cf9125ca038b43533b7f","257"
"1fe11e8f0fa5bea7416ec09d6e8d2b4d","11"
"1fea3244d38e951f0196b2728aee3bdf","146"
"20001d07954025179c613496803181a6","0"
"2004ba7732339d9be65f2236d8887ae4","219"
"200d8b1f16d0cc9600022fdc99987a7f","0"
"20282afdbe6cf22d5f5a956d8b5a3f78","217"
"2028c90d6c4523ae70a285c44010258a","132"
"204efc7a771f1a33fd28465082171f5b","24"
"204fa49efb5913a76287284d6e096f69","27"
"206b04b38a5dc8404458ec16edeca606","105"
"208ed8bf578938c97d49b3429358a424","59"
"208fe9aa6033a77419f8f503b7698e03","12"
"209e5691e2cda59cd71e45417d7f95a2","0"
"20ae758fb6688386d9d1540f63d380e0","345"
"211aaecea827d378c879c2b2f667c89d","63"
"213b36024bb0b8261de0ffbd652ebc34","3"
"21421ba1bd92005a3b48e6a745e9b8bb","17"
"21559d7ff0ebff720e5e160184338fed","404"
"21560f93adbd9ada040a40909ac8619d","87"
"216ab90e27f18940cfac8f9f02fb4239","149"
"216fd197a786370ce9601ee2f6b5a31a","0"
"21a2d9dc71459dbd3dad219cb9681964","197"
"21bde4e982c4681021edabb899bcebfe","22"
"21c3cb2e65b7575d9e079f7be7987d3c","0"
"21c8aa0cb27943cbf33d75985e28da67","20"
"21d3f0a4bf0cccf65dcfe93b8325d250","54"
"21de770aa4f3a60388b97b416ad38343","4"
"21effa61d72771ba8315ab56ce7fb7ac","0"
"220bcdd6ae284ed1a273d99003fa8a0e","91"
"221d59abddcd719f3ec72c50078b9e31","195"
"2271b98c96ef2dbe4241cbbde7c8c12b","0"
"2280ecb8db2591c39d1c7d3e9caa115c","59"
"22ac8971f405f9520b3e7cf37e042ee7","195"
"22f6af8201369f9eb96592db3142b9c2","63"
"230b7f6050862e4d39911debaa3088ef","8"
"231d36f5c4b238c26f449ffd98c79180","5"
"232007f7d8c26eb8d7daaacb46501783","0"
"23339103d82a054f9729b0554ce22e8c","17"
"233c8f191c45cef30af148a82ac70020","2"
"23539ab2fa3d6e255f96114be5d2dbd3","0"
"23ae1bfb4297222c1b522172809a7ca1","0"
"23b2d37ef78f3c8dcb31f5eefc30190a","177"
"23dc3a062c6c097bcb3940a909e7730f","27"
"24072811917876a84c81166f96aed0c1","511"
"240f980f7c03e873c538e86792646919","29"
"2410195f6521688005612363835a2671","0"
"24115a0c9fc9115c586e54fd5f42e8d1","129"
"24259224caf748993c177ebf964c2e6e","39"
"24391449252cf6db04ce271b2a208d83","51"
"243b99bd9ed8a3f460e7289d0a8df291","180"
"246ef4748f64c4e716b4356d570967a1","0"
"247e0dcd20596bee51bd2b07f633fa04","66"
